                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0605,                 0.2426,                0.80769,                  2.152,               0.070357,              0.0032937,              0.0032937
                      2,                 1.9971,                0.27959,                0.83876,                 2.1195,               0.040324,              0.0065942,              0.0065942
                      3,                 1.9625,                 0.1997,                0.79438,                 2.1494,               0.010259,              0.0098617,              0.0098617
                      4,                 1.9263,                0.31213,                0.82544,                 2.0964,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8657,                0.35503,                0.86982,                 2.0651,               0.009802,               0.009802,               0.009802
                      6,                 1.8176,                0.30325,                 0.8713,                 2.0882,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7572,                 0.2929,                0.89201,                 2.0443,               0.009703,               0.009703,               0.009703
                      8,                 1.7265,                0.35207,                0.88018,                 2.0417,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.665,                0.41716,                0.90089,                 2.0148,               0.009604,               0.009604,               0.009604
                     10,                 1.6327,                0.45266,                0.90237,                 1.9891,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5802,                0.38462,                0.92604,                 2.0176,               0.009505,               0.009505,               0.009505
                     12,                 1.5632,                0.46746,                0.90237,                 1.9745,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5132,                0.49112,                0.92012,                 1.9507,               0.009406,               0.009406,               0.009406
                     14,                  1.495,                 0.4068,                0.90089,                 1.9842,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4693,                0.42751,                0.92308,                 1.9593,               0.009307,               0.009307,               0.009307
                     16,                 1.4396,                0.47041,                 0.9068,                 1.9471,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3875,                0.50148,                0.92456,                 1.9396,               0.009208,               0.009208,               0.009208
                     18,                 1.3735,                0.48077,                0.91716,                 1.9351,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3429,                0.42012,                0.92012,                 2.0026,               0.009109,               0.009109,               0.009109
                     20,                 1.2967,                0.57692,                0.94379,                 1.8857,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2854,                0.38609,                0.91568,                 2.0051,                0.00901,                0.00901,                0.00901
                     22,                 1.2548,                0.56213,                0.93935,                 1.8796,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1972,                 0.5355,                0.92012,                 1.8768,               0.008911,               0.008911,               0.008911
                     24,                 1.1981,                0.55178,                0.92899,                 1.8667,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1384,                0.57396,                0.95414,                 1.8543,               0.008812,               0.008812,               0.008812
                     26,                  1.108,                 0.5784,                0.94231,                  1.866,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0864,                0.55325,                0.94379,                 1.8535,               0.008713,               0.008713,               0.008713
                     28,                 1.0398,                    0.5,                 0.9142,                 1.9102,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0071,                0.47781,                 0.9216,                 1.9217,               0.008614,               0.008614,               0.008614
                     30,                0.98047,                0.60355,                 0.9571,                 1.8195,              0.0085645,              0.0085645,              0.0085645
                     31,                0.94235,                0.59911,                0.94822,                 1.8159,               0.008515,               0.008515,               0.008515
                     32,                 0.9139,                0.49408,                0.92751,                 1.8924,              0.0084655,              0.0084655,              0.0084655
                     33,                0.89883,                 0.6287,                0.94675,                 1.7783,               0.008416,               0.008416,               0.008416
                     34,                0.85404,                0.62426,                0.95266,                 1.8184,              0.0083665,              0.0083665,              0.0083665
                     35,                0.83896,                0.60503,                0.94231,                 1.8058,               0.008317,               0.008317,               0.008317
                     36,                0.83697,                0.61391,                0.95118,                 1.8193,              0.0082675,              0.0082675,              0.0082675
                     37,                0.76373,                0.60799,                0.95414,                 1.8013,               0.008218,               0.008218,               0.008218
                     38,                0.73537,                0.58432,                0.93491,                 1.8228,              0.0081685,              0.0081685,              0.0081685
                     39,                0.72451,                0.60503,                0.95118,                 1.7856,               0.008119,               0.008119,               0.008119
                     40,                0.70866,                0.57544,                0.95266,                  1.811,              0.0080695,              0.0080695,              0.0080695
                     41,                0.69108,                0.61391,                0.95266,                 1.7811,                0.00802,                0.00802,                0.00802
                     42,                0.67097,                0.65533,                0.96598,                 1.7492,              0.0079705,              0.0079705,              0.0079705
                     43,                0.63125,                0.63018,                0.96598,                 1.7739,               0.007921,               0.007921,               0.007921
                     44,                0.60925,                0.60947,                0.95858,                 1.7808,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.6144,                0.63609,                0.96006,                 1.7485,               0.007822,               0.007822,               0.007822
                     46,                0.59902,                0.64645,                 0.9645,                 1.7466,              0.0077725,              0.0077725,              0.0077725
                     47,                0.56147,                0.64645,                0.95858,                 1.7524,               0.007723,               0.007723,               0.007723
                     48,                0.53116,                0.65976,                0.96598,                 1.7425,              0.0076735,              0.0076735,              0.0076735
                     49,                0.50935,                0.68639,                 0.9645,                 1.7311,               0.007624,               0.007624,               0.007624
                     50,                0.52298,                 0.6287,                0.95562,                 1.7695,              0.0075745,              0.0075745,              0.0075745
                     51,                0.49475,                0.64941,                0.96746,                 1.7559,               0.007525,               0.007525,               0.007525
                     52,                0.50183,                0.66124,                0.95414,                 1.7223,              0.0074755,              0.0074755,              0.0074755
                     53,                0.46266,                0.66716,                0.96302,                 1.7308,               0.007426,               0.007426,               0.007426
                     54,                0.49052,                0.64201,                0.96746,                 1.7375,              0.0073765,              0.0073765,              0.0073765
                     55,                0.44679,                0.66568,                0.96154,                 1.7301,               0.007327,               0.007327,               0.007327
                     56,                0.42983,                0.63609,                0.96598,                 1.7489,              0.0072775,              0.0072775,              0.0072775
                     57,                0.44532,                0.64349,                0.96302,                 1.7593,               0.007228,               0.007228,               0.007228
                     58,                0.38007,                0.65533,                0.96598,                   1.73,              0.0071785,              0.0071785,              0.0071785
                     59,                0.39851,                0.65828,                0.96302,                 1.7329,               0.007129,               0.007129,               0.007129
                     60,                0.38746,                0.70414,                0.96154,                 1.6951,              0.0070795,              0.0070795,              0.0070795
                     61,                0.38128,                0.66716,                0.96154,                 1.7083,                0.00703,                0.00703,                0.00703
                     62,                0.35254,                0.67604,                0.97041,                  1.694,              0.0069805,              0.0069805,              0.0069805
                     63,                0.34885,                0.67604,                0.96893,                 1.7096,               0.006931,               0.006931,               0.006931
                     64,                0.31968,                0.67456,                0.96893,                 1.7012,              0.0068815,              0.0068815,              0.0068815
                     65,                0.32594,                0.68195,                 0.9645,                 1.7186,               0.006832,               0.006832,               0.006832
                     66,                0.35004,                0.69822,                0.97041,                 1.6893,              0.0067825,              0.0067825,              0.0067825
                     67,                 0.3442,                0.68787,                0.96154,                 1.7122,               0.006733,               0.006733,               0.006733
                     68,                0.32523,                0.72041,                0.97633,                  1.673,              0.0066835,              0.0066835,              0.0066835
                     69,                0.31553,                0.67751,                0.96598,                   1.71,               0.006634,               0.006634,               0.006634
                     70,                0.29706,                0.70118,                0.96598,                 1.6781,              0.0065845,              0.0065845,              0.0065845
                     71,                0.28822,                0.68639,                0.96302,                 1.6971,               0.006535,               0.006535,               0.006535
                     72,                0.28121,                0.71746,                0.95858,                  1.674,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.2869,                0.71154,                 0.9645,                 1.6803,               0.006436,               0.006436,               0.006436
                     74,                0.27192,                0.69083,                0.96746,                 1.6994,              0.0063865,              0.0063865,              0.0063865
                     75,                0.25272,                0.70266,                0.95858,                 1.6821,               0.006337,               0.006337,               0.006337
                     76,                0.27134,                0.70266,                 0.9645,                 1.6787,              0.0062875,              0.0062875,              0.0062875
                     77,                0.23582,                0.72041,                0.96154,                 1.6852,               0.006238,               0.006238,               0.006238
                     78,                0.24863,                0.70858,                0.96746,                 1.6743,              0.0061885,              0.0061885,              0.0061885
