                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0579,                0.23964,                0.81065,                 2.1533,               0.070357,              0.0032937,              0.0032937
                      2,                 2.0017,                0.26923,                0.82988,                 2.1175,               0.040324,              0.0065942,              0.0065942
                      3,                 1.9658,                0.29142,                0.86834,                 2.1286,               0.010259,              0.0098617,              0.0098617
                      4,                 1.9293,                0.29882,                0.85355,                 2.0846,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8658,                0.34172,                0.87278,                 2.0631,               0.009802,               0.009802,               0.009802
                      6,                 1.8262,                0.25444,                0.83876,                 2.1175,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7512,                0.31509,                0.88609,                  2.057,               0.009703,               0.009703,               0.009703
                      8,                 1.7085,                0.42308,                0.90385,                 2.0143,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6357,                 0.4142,                0.90237,                 2.0244,               0.009604,               0.009604,               0.009604
                     10,                 1.6057,                0.44675,                0.88018,                 1.9828,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5699,                0.43935,                0.92308,                 2.0104,               0.009505,               0.009505,               0.009505
                     12,                 1.5574,                0.47337,                0.90237,                 1.9718,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4871,                0.47337,                0.91568,                 1.9552,               0.009406,               0.009406,               0.009406
                     14,                 1.4744,                0.46302,                0.91864,                 1.9508,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4402,                 0.4216,                0.86982,                 2.0041,               0.009307,               0.009307,               0.009307
                     16,                 1.4117,                0.51331,                0.92308,                 1.9082,              0.0092575,              0.0092575,              0.0092575
                     17,                  1.367,                0.53698,                0.93195,                 1.9144,               0.009208,               0.009208,               0.009208
                     18,                 1.3513,                0.47485,                0.92751,                  1.925,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3232,                 0.5355,                 0.9216,                 1.9243,               0.009109,               0.009109,               0.009109
                     20,                 1.2673,                0.53698,                0.93195,                  1.895,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2671,                0.43787,                0.93787,                 1.9585,                0.00901,                0.00901,                0.00901
                     22,                 1.2153,                0.52367,                0.93195,                 1.9212,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1826,                0.52663,                0.92604,                 1.8922,               0.008911,               0.008911,               0.008911
                     24,                 1.1436,                 0.5503,                0.93935,                 1.8566,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.127,                0.52959,                0.92456,                 1.8656,               0.008812,               0.008812,               0.008812
                     26,                  1.078,                 0.5858,                0.92012,                  1.861,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0582,                0.54586,                0.95414,                 1.8719,               0.008713,               0.008713,               0.008713
                     28,                 1.0291,                0.51627,                0.91272,                 1.9165,              0.0086635,              0.0086635,              0.0086635
                     29,                0.98649,                 0.5932,                0.94083,                 1.8169,               0.008614,               0.008614,               0.008614
                     30,                0.96457,                0.56953,                0.94527,                 1.8421,              0.0085645,              0.0085645,              0.0085645
                     31,                0.93883,                0.57101,                 0.9497,                 1.8345,               0.008515,               0.008515,               0.008515
                     32,                 0.9173,                0.54586,                0.94083,                 1.8529,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.8504,                0.60503,                0.95118,                 1.7944,               0.008416,               0.008416,               0.008416
                     34,                0.84275,                0.61686,                0.96302,                  1.797,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.8291,                0.60355,                 0.9571,                 1.8066,               0.008317,               0.008317,               0.008317
                     36,                0.80188,                0.59024,                0.93491,                 1.8283,              0.0082675,              0.0082675,              0.0082675
                     37,                0.75555,                0.57692,                0.95118,                 1.8171,               0.008218,               0.008218,               0.008218
                     38,                0.74327,                0.64941,                0.96006,                 1.7453,              0.0081685,              0.0081685,              0.0081685
                     39,                0.71056,                0.64645,                0.95118,                 1.7624,               0.008119,               0.008119,               0.008119
                     40,                0.65981,                0.60059,                0.94675,                 1.7902,              0.0080695,              0.0080695,              0.0080695
                     41,                0.66892,                0.56509,                0.94083,                 1.8198,                0.00802,                0.00802,                0.00802
                     42,                0.63327,                0.66716,                0.96598,                 1.7292,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.6207,                0.62722,                0.95414,                 1.7721,               0.007921,               0.007921,               0.007921
                     44,                0.59676,                0.66716,                0.95414,                 1.7497,              0.0078715,              0.0078715,              0.0078715
                     45,                0.57135,                0.64793,                0.96302,                 1.7367,               0.007822,               0.007822,               0.007822
                     46,                0.57774,                0.65385,                0.95562,                 1.7404,              0.0077725,              0.0077725,              0.0077725
                     47,                0.58466,                0.65089,                0.96154,                 1.7378,               0.007723,               0.007723,               0.007723
                     48,                0.54996,                0.67456,                 0.9645,                 1.7331,              0.0076735,              0.0076735,              0.0076735
                     49,                0.48812,                 0.6716,                0.97041,                 1.7402,               0.007624,               0.007624,               0.007624
                     50,                0.52219,                0.66124,                0.96746,                 1.7394,              0.0075745,              0.0075745,              0.0075745
                     51,                0.48668,                0.69083,                 0.9645,                  1.723,               0.007525,               0.007525,               0.007525
                     52,                0.46818,                0.67012,                0.96893,                 1.7194,              0.0074755,              0.0074755,              0.0074755
                     53,                0.47138,                0.64497,                0.96006,                  1.728,               0.007426,               0.007426,               0.007426
                     54,                0.46093,                0.65385,                0.96893,                  1.727,              0.0073765,              0.0073765,              0.0073765
                     55,                0.43974,                0.67604,                0.95414,                 1.7262,               0.007327,               0.007327,               0.007327
                     56,                0.41019,                0.67308,                0.96598,                 1.7225,              0.0072775,              0.0072775,              0.0072775
                     57,                0.42769,                0.67751,                0.96302,                 1.7303,               0.007228,               0.007228,               0.007228
                     58,                0.37868,                0.67899,                0.97485,                 1.7012,              0.0071785,              0.0071785,              0.0071785
                     59,                0.40092,                0.67308,                 0.9571,                 1.7129,               0.007129,               0.007129,               0.007129
